usuario,fecha,titulo,genero
juan,2025-11-11 19:18:18,Cancion animal,Rock
juan,2025-11-11 19:21:07,We are the people,Pop
juan,2025-11-11 19:21:12,Cancion animal,Rock
juan,2025-11-11 19:21:58,Cancion animal,Rock
juan,2025-11-12 14:46:43,The Morning After,Electronica
juan,2025-11-12 14:46:59,The Morning After,Electronica
juan,2025-11-12 14:47:00,The Morning After,Electronica
juan,2025-11-12 14:47:00,The Morning After,Electronica
juan,2025-11-12 14:47:05,The Morning After,Electronica
juan,2025-11-12 15:31:55,Te para 3,Rock
juan,2025-11-12 15:32:25,Te para 3,Rock
juan,2025-11-12 15:33:53,Cancion animal,Rock
juan,2025-11-12 17:01:03,Like a tattoo,Pop
juan,2025-11-12 17:12:54,Like a tattoo,Pop
juan,2025-11-12 18:07:56,Cancion animal,Rock
juan,2025-11-12 18:08:05,Like a tattoo,Pop
juan,2025-11-12 18:08:20,We are the people,Pop
juan,2025-11-12 18:12:09,Cancion animal,Rock
juan,2025-11-12 18:12:15,We are the people,Pop
juan,2025-11-12 18:12:18,Like a tattoo,Pop
juan,2025-11-12 18:12:20,We are the people,Pop
juan,2025-11-12 18:12:21,Like a tattoo,Pop
